Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
Novice Men U 73kg,MALE,15,,66.1,73,YELLOW,YELLOW,240,0,480
Novice Men U 81kg,MALE,15,,73.1,81,YELLOW,YELLOW,240,0,480
Novice Men U 90kg,MALE,15,,81.1,90,YELLOW,YELLOW,240,0,480
Novice Men U100kg,MALE,15,,90.1,100,YELLOW,YELLOW,240,0,480
Novice Mons Boys + 45kg,MALE,8,9,45.1,,YELLOW,YELLOW,180,0,360
Novice Mons Boys U 21kg,MALE,8,9,,21,YELLOW,YELLOW,180,0,360
Novice Mons Boys U 24kg,MALE,8,9,21.1,24,YELLOW,YELLOW,180,0,360
Novice Mons Boys U 27kg,MALE,8,9,24.1,27,YELLOW,YELLOW,180,0,360
Novice Mons Boys U 31kg,MALE,8,9,27.1,31,YELLOW,YELLOW,180,0,360
Novice Mons Boys U 35kg,MALE,8,9,31.1,35,YELLOW,YELLOW,180,0,360
Novice Mons Boys U 40kg,MALE,8,9,35.1,40,YELLOW,YELLOW,180,0,360
Novice Mons Boys U 45kg,MALE,8,9,40.1,45,YELLOW,YELLOW,180,0,360
Novice Mons Girls + 45kg,FEMALE,9,11,52.1,,YELLOW,YELLOW,180,0,360
Novice Mons Girls U 21kg,FEMALE,9,11,,29,YELLOW,YELLOW,180,0,360
Novice Mons Girls U 24kg,FEMALE,9,11,29.1,32,YELLOW,YELLOW,180,0,360
Novice Mons Girls U 27kg,FEMALE,9,11,32.1,36,YELLOW,YELLOW,180,0,360
Novice Mons Girls U 31kg,FEMALE,9,11,36.1,40,YELLOW,YELLOW,180,0,360
Novice Mons Girls U 35kg,FEMALE,9,11,40.1,44,YELLOW,YELLOW,180,0,360
Novice Mons Girls U 40kg,FEMALE,9,11,44.1,48,YELLOW,YELLOW,180,0,360
Novice Mons Girls U 45kg,FEMALE,9,11,48.1,52,YELLOW,YELLOW,180,0,360
